사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20240701,9호선2~3단계,석촌고분,7665,7414,20240704
20240701,중앙선,도농,12178,10957,20240704
20240701,중앙선,구리,14053,14085,20240704
20240701,4호선,길음,22687,22215,20240704
20240701,분당선,복정,1,0,20240704
20240701,중앙선,오빈,341,346,20240704
20240701,중앙선,양평,3373,3272,20240704
20240701,중앙선,원덕,395,343,20240704
20240701,중앙선,용문,2079,2014,20240704
20240701,중앙선,지평,83,92,20240704
20240701,중앙선,양원,3609,3434,20240704
20240701,중앙선,망우,8145,7826,20240704
20240701,중앙선,상봉,6388,6324,20240704
20240701,중앙선,중랑,5804,5629,20240704
20240701,중앙선,회기,26435,25277,20240704
20240701,장항선,신창(순천향대),1298,1444,20240704
20240701,장항선,온양온천,4436,4400,20240704
20240701,장항선,배방,1283,1245,20240704
20240701,장항선,탕정,1799,1636,20240704
20240701,중앙선,양정,684,534,20240704
20240701,중앙선,덕소,5723,5704,20240704
20240701,중앙선,도심,2673,2107,20240704
20240701,중앙선,팔당,858,874,20240704
20240701,중앙선,운길산,711,719,20240704
20240701,중앙선,양수,2098,2121,20240704
20240701,중앙선,신원,180,168,20240704
20240701,중앙선,국수,779,775,20240704
20240701,중앙선,아신,559,550,20240704
20240701,장항선,아산,3724,3451,20240704
20240701,장항선,쌍용(나사렛대),2408,2391,20240704
20240701,장항선,봉명,1647,1631,20240704
20240701,일산선,대화,15161,11585,20240704
20240701,일산선,주엽,10577,10751,20240704
20240701,일산선,정발산,7465,7571,20240704
20240701,일산선,마두,8834,9065,20240704
20240701,일산선,백석,10586,10627,20240704
20240701,일산선,대곡,3314,2429,20240704
20240701,일산선,화정,18060,18600,20240704
20240701,일산선,원당,11883,11284,20240704
20240701,일산선,삼송,20233,19728,20240704
20240701,일산선,지축,1,0,20240704
20240701,일산선,원흥,12308,11761,20240704
20240701,우이신설선,신설동,2711,2431,20240704
20240701,우이신설선,보문,1755,1695,20240704
20240701,우이신설선,성신여대입구(돈암),3949,4255,20240704
20240701,우이신설선,정릉,5087,5062,20240704
20240701,우이신설선,북한산보국문,6534,6689,20240704
20240701,우이신설선,솔샘,6167,6581,20240704
20240701,우이신설선,삼양사거리,2961,3014,20240704
20240701,우이신설선,삼양,2351,2604,20240704
20240701,우이신설선,화계,4007,3943,20240704
20240701,우이신설선,가오리,4740,4981,20240704
20240701,우이신설선,4.19민주묘지,3412,3357,20240704
20240701,우이신설선,솔밭공원,2959,2970,20240704
20240701,우이신설선,북한산우이,3383,3105,20240704
20240701,안산선,수리산,4419,3720,20240704
20240701,안산선,오이도,8111,8173,20240704
20240701,안산선,정왕,9549,9757,20240704
20240701,안산선,신길온천,2188,1883,20240704
20240701,안산선,안산,13053,11933,20240704
20240701,안산선,초지,5322,5213,20240704
20240701,안산선,고잔,9541,8991,20240704
20240701,안산선,중앙,19119,19660,20240704
20240701,안산선,한대앞,9699,9797,20240704
20240701,안산선,상록수,15543,15840,20240704
20240701,안산선,반월,4737,4718,20240704
20240701,안산선,대야미,5301,4887,20240704
20240701,안산선,산본,17151,18133,20240704
20240701,신림선,관악산(서울대),3405,3312,20240704
20240701,신림선,서울대벤처타운,10276,9722,20240704
20240701,신림선,서원,3838,3328,20240704
20240701,신림선,신림,2105,2784,20240704
20240701,신림선,당곡,5297,5221,20240704
20240701,신림선,보라매병원,8309,8829,20240704
20240701,신림선,보라매공원,2406,2667,20240704
20240701,신림선,보라매,4649,4301,20240704
20240701,신림선,서울지방병무청,3414,3851,20240704
20240701,신림선,대방,3149,2584,20240704
20240701,신림선,샛강,3585,3850,20240704
20240701,수인선,인천,1120,1751,20240704
20240701,수인선,신포,2004,2041,20240704
20240701,수인선,숭의,4614,4327,20240704
20240701,수인선,인하대,6810,6541,20240704
20240701,수인선,송도,2686,2439,20240704
20240701,수인선,연수,4988,4908,20240704
20240701,수인선,원인재,4614,4752,20240704
20240701,수인선,남동인더스파크,2523,2842,20240704
20240701,수인선,인천논현,5903,6170,20240704
20240701,수인선,소래포구,5034,4616,20240704
20240701,수인선,월곶,2928,2642,20240704
20240701,수인선,달월,122,68,20240704
20240701,수인선,사리,5400,4645,20240704
20240701,수인선,야목,436,379,20240704
20240701,수인선,어천,1495,1448,20240704
20240701,수인선,오목천,4288,3918,20240704
20240701,수인선,고색,5984,5427,20240704
20240701,서해선,부천종합운동장,2692,2287,20240704
20240701,서해선,원종,4946,5084,20240704
20240701,서해선,김포공항,2966,3772,20240704
20240701,분당선,매교,5904,5819,20240704
20240701,분당선,수원시청,14602,15421,20240704
20240701,분당선,매탄권선,5868,5789,20240704
20240701,분당선,망포,16591,15992,20240704
20240701,분당선,영통,9284,9619,20240704
20240701,분당선,청명,4902,4733,20240704
20240701,분당선,상갈,5715,5502,20240704
20240701,분당선,기흥,10910,10020,20240704
20240701,분당선,신갈,5166,4973,20240704
20240701,분당선,구성,6987,7128,20240704
20240701,분당선,죽전,12570,14007,20240704
20240701,분당선,보정,2918,2663,20240704
20240701,분당선,이매,6117,5741,20240704
20240701,분당선,오리,12565,10958,20240704
20240701,분당선,미금,16867,17332,20240704
20240701,분당선,정자,19767,20595,20240704
20240701,분당선,수내,15207,15363,20240704
20240701,분당선,서현,26175,26769,20240704
20240701,분당선,야탑,26938,28223,20240704
20240701,분당선,모란,20556,21025,20240704
20240701,분당선,태평,14003,13285,20240704
20240701,분당선,가천대,8035,8497,20240704
20240701,분당선,선정릉,8596,8883,20240704
20240701,분당선,강남구청,10503,12110,20240704
20240701,분당선,압구정로데오,18383,19745,20240704
20240701,분당선,서울숲,13330,13412,20240704
20240701,분당선,수원,8242,7555,20240704
20240701,분당선,수서,17709,18390,20240704
20240701,분당선,대모산입구,6609,6152,20240704
20240701,분당선,개포동,4945,5068,20240704
20240701,분당선,구룡,3955,3965,20240704
20240701,분당선,도곡,8753,8748,20240704
20240701,분당선,한티,16409,17619,20240704
20240701,분당선,선릉,15294,23287,20240704
20240701,과천선,범계,28498,28256,20240704
20240701,과천선,평촌,19609,19265,20240704
20240701,과천선,인덕원,27005,27764,20240704
20240701,과천선,정부과천청사,13532,14232,20240704
20240701,과천선,과천,6883,6310,20240704
20240701,과천선,대공원,2307,2358,20240704
20240701,과천선,경마공원,840,840,20240704
20240701,과천선,선바위,7977,7060,20240704
20240701,공항철도 1호선,영종,4359,4377,20240704
20240701,공항철도 1호선,인천공항2터미널,7296,6561,20240704
20240701,공항철도 1호선,인천공항1터미널,15350,15558,20240704
20240701,공항철도 1호선,공항화물청사,2225,2442,20240704
20240701,공항철도 1호선,운서,9609,10011,20240704
20240701,공항철도 1호선,청라국제도시,8058,7546,20240704
20240701,공항철도 1호선,검암,6862,7058,20240704
20240701,공항철도 1호선,계양,14258,13583,20240704
20240701,공항철도 1호선,김포공항,9885,5859,20240704
20240701,공항철도 1호선,마곡나루(서울식물원),12879,12361,20240704
20240701,공항철도 1호선,디지털미디어시티,15369,14649,20240704
20240701,공항철도 1호선,홍대입구,14403,13852,20240704
20240701,공항철도 1호선,공덕,3387,4186,20240704
20240701,공항철도 1호선,서울역,13149,11741,20240704
20240701,경춘선,춘천,1375,1192,20240704
20240701,경춘선,남춘천,2341,2542,20240704
20240701,경춘선,김유정,388,369,20240704
20240701,경춘선,강촌,370,379,20240704
20240701,경춘선,백양리,79,102,20240704
20240701,경춘선,굴봉산,153,124,20240704
20240701,경춘선,가평,2228,2397,20240704
20240701,경춘선,상천,272,327,20240704
20240701,경춘선,청평,1902,1979,20240704
20240701,경춘선,대성리,778,1188,20240704
20240701,경춘선,마석,4037,3815,20240704
20240701,경춘선,천마산,1622,1533,20240704
20240701,경춘선,평내호평,6579,6317,20240704
20240701,경춘선,금곡,1615,1571,20240704
20240701,경춘선,사릉,2175,2109,20240704
20240701,경춘선,퇴계원,3937,3610,20240704
20240701,경춘선,별내,3761,3523,20240704
20240701,경춘선,갈매,3254,2805,20240704
20240701,경춘선,신내,3119,2772,20240704
20240701,경인선,도화,4575,4224,20240704
20240701,경인선,중동,9988,9373,20240704
20240701,경인선,온수(성공회대입구),6759,6395,20240704
20240701,경인선,도원,3759,3793,20240704
20240701,경인선,간석,6207,5927,20240704
20240701,경인선,부개,9506,8956,20240704
20240701,경인선,소사,7913,7656,20240704
20240701,경인선,구일,6675,6713,20240704
20240701,경인선,인천,3848,3034,20240704
20240701,경인선,동인천,14605,13671,20240704
20240701,경인선,제물포,11375,11171,20240704
20240701,경인선,주안,19332,17328,20240704
20240701,경인선,동암,16363,16298,20240704
20240701,경인선,백운,8188,7939,20240704
20240701,경인선,부평,29589,30837,20240704
20240701,경인선,송내,28501,27996,20240704
20240701,경인선,부천,32509,32278,20240704
20240701,경인선,역곡,27054,27218,20240704
20240701,경인선,오류동,12436,11725,20240704
20240701,경인선,개봉,23010,22593,20240704
20240701,경의선,김포공항,1,0,20240704
20240701,경의선,운천,8,4,20240704
20240701,경의선,임진강,6,12,20240704
20240701,경의선,문산,6109,5435,20240704
20240701,경의선,파주,1380,982,20240704
20240701,경의선,월롱,2124,2012,20240704
20240701,경의선,금촌,7547,7109,20240704
20240701,경의선,금릉,5987,5747,20240704
20240701,경의선,운정,8487,8052,20240704
20240701,경의선,야당,9569,9631,20240704
20240701,경의선,탄현,8404,8216,20240704
20240701,경의선,일산,11896,11600,20240704
20240701,경의선,풍산,6635,6239,20240704
20240701,경의선,백마,8146,7880,20240704
20240701,경의선,곡산,727,797,20240704
20240701,경의선,능곡,5246,4813,20240704
20240701,경의선,행신,8722,8791,20240704
20240701,경의선,강매,3650,3061,20240704
20240701,경의선,한국항공대,2291,2109,20240704
20240701,경의선,수색,3922,3905,20240704
20240701,경의선,디지털미디어시티,3047,2842,20240704
20240701,경의선,가좌,6600,6209,20240704
20240701,경의선,홍대입구,1999,2413,20240704
20240701,경의선,서강대,2412,2301,20240704
20240701,경의선,공덕,4470,3959,20240704
20240701,경의선,효창공원앞,3569,4043,20240704
20240701,경의선,신촌,1198,1496,20240704
20240701,경의선,서울역,5258,6734,20240704
20240701,경원선,연천,1320,1077,20240704
20240701,경원선,전곡,1180,963,20240704
20240701,경원선,청산,172,137,20240704
20240701,경원선,소요산,1970,1838,20240704
20240701,경원선,동두천,1938,1837,20240704
20240701,경원선,보산,1658,1455,20240704
20240701,경원선,동두천중앙,3363,3253,20240704
20240701,경원선,지행,6997,7035,20240704
20240701,경원선,덕정,6559,6180,20240704
20240701,경원선,덕계,6397,5828,20240704
20240701,경원선,양주,7608,7250,20240704
20240701,경원선,녹양,4652,4405,20240704
20240701,경원선,가능,7028,6818,20240704
20240701,경원선,의정부,18778,19055,20240704
20240701,경원선,회룡,14157,13829,20240704
20240701,경원선,망월사,7823,7991,20240704
20240701,경원선,도봉산,7856,5021,20240704
20240701,경원선,도봉,6374,6063,20240704
20240701,경원선,방학,10697,10320,20240704
20240701,경원선,창동,4,0,20240704
20240701,경원선,녹천,4940,4157,20240704
20240701,경원선,월계,7108,6698,20240704
20240701,경원선,광운대,8465,8105,20240704
20240701,경원선,석계,7649,8920,20240704
20240701,경원선,신이문,9217,8534,20240704
20240701,경원선,외대앞,9593,9448,20240704
20240701,경원선,청량리(서울시립대입구),16063,17275,20240704
20240701,경원선,왕십리(성동구청),17071,17112,20240704
20240701,경원선,응봉,2042,1777,20240704
20240701,경원선,옥수,49,33,20240704
20240701,경원선,한남,4215,4058,20240704
20240701,경원선,서빙고,2212,2031,20240704
20240701,경원선,이촌(국립중앙박물관),4258,3437,20240704
20240701,경부선,광명,4046,3426,20240704
20240701,경부선,서동탄,1659,1388,20240704
20240701,경부선,당정,6477,6147,20240704
20240701,경부선,천안,5878,6272,20240704
20240701,경부선,두정,6709,6845,20240704
20240701,경부선,직산,1087,1003,20240704
20240701,경부선,성환,4178,4287,20240704
20240701,경부선,평택,12845,12458,20240704
20240701,경부선,평택지제,4484,4324,20240704
20240701,경부선,서정리,8480,8088,20240704
20240701,경부선,송탄,4724,4589,20240704
20240701,경부선,진위,1933,1769,20240704
20240701,경부선,오산,10222,10436,20240704
20240701,경부선,오산대,3812,3592,20240704
20240701,경부선,세마,3507,3391,20240704
20240701,경부선,병점,15160,15062,20240704
20240701,경부선,세류,3535,3320,20240704
20240701,경부선,독산,19279,19985,20240704
20240701,경부선,수원,35926,37565,20240704
20240701,경부선,화서,12236,11676,20240704
20240701,경부선,성균관대,15881,15719,20240704
20240701,경부선,의왕,9530,9576,20240704
20240701,경부선,군포,7945,7882,20240704
20240701,경부선,금정,29544,29701,20240704
20240701,경부선,명학,9217,9137,20240704
20240701,경부선,안양,22155,21918,20240704
20240701,경부선,관악,7828,7448,20240704
20240701,경부선,석수,9048,8379,20240704
20240701,경부선,금천구청,11919,12189,20240704
20240701,경부선,가산디지털단지,19614,22504,20240704
20240701,경부선,구로,18771,18744,20240704
20240701,경부선,신길,9567,8054,20240704
20240701,경부선,신도림,4224,4341,20240704
20240701,경부선,영등포,39225,40004,20240704
20240701,경부선,대방,11416,12281,20240704
20240701,경부선,노량진,8115,7926,20240704
20240701,경부선,용산,38520,39800,20240704
20240701,경부선,남영,10593,11015,20240704
20240701,경부선,서울역,8814,3301,20240704
20240701,경강선,성남,988,871,20240704
20240701,경강선,여주,2748,2636,20240704
20240701,경강선,세종대왕릉,365,330,20240704
20240701,경강선,부발,2358,2369,20240704
20240701,경강선,이천,3012,3063,20240704
20240701,경강선,신둔도예촌,1476,1425,20240704
20240701,경강선,곤지암,2316,2327,20240704
20240701,경강선,초월,3639,3528,20240704
20240701,경강선,경기광주,8434,8027,20240704
20240701,경강선,삼동,2730,2582,20240704
20240701,경강선,이매,1164,1088,20240704
20240701,경강선,판교,6056,6027,20240704
20240701,9호선2~3단계,중앙보훈병원,13472,12008,20240704
20240701,9호선2~3단계,둔촌오륜,1454,1385,20240704
20240701,9호선2~3단계,올림픽공원(한국체대),5874,6284,20240704
20240701,9호선2~3단계,한성백제,3345,2928,20240704
20240701,9호선2~3단계,송파나루,5952,6177,20240704
20240701,9호선2~3단계,석촌,10135,9118,20240704
20240701,9호선2~3단계,삼전,8693,8009,20240704
20240701,9호선2~3단계,종합운동장,5139,5118,20240704
20240701,9호선2~3단계,봉은사,21727,22510,20240704
20240701,9호선2~3단계,삼성중앙,8905,9268,20240704
20240701,9호선2~3단계,선정릉,11020,11833,20240704
20240701,9호선2~3단계,언주,12795,13386,20240704
20240701,9호선,신논현,32235,31985,20240704
20240701,9호선,사평,5018,4777,20240704
20240701,9호선,고속터미널,14404,18345,20240704
20240701,9호선,신반포,4689,4585,20240704
20240701,9호선,구반포,1479,1546,20240704
20240701,9호선,동작(현충원),2294,2814,20240704
20240701,9호선,흑석(중앙대입구),7362,7026,20240704
20240701,9호선,노들,5546,5050,20240704
20240701,9호선,노량진,26242,26253,20240704
20240701,9호선,샛강,7453,7471,20240704
20240701,9호선,여의도,34585,33720,20240704
20240701,9호선,국회의사당,18915,20084,20240704
20240701,9호선,당산,20663,20677,20240704
20240701,9호선,선유도,10086,9492,20240704
20240701,9호선,신목동,5357,4756,20240704
20240701,9호선,염창,19201,18666,20240704
20240701,9호선,등촌,13724,13141,20240704
20240701,9호선,증미,9330,9136,20240704
20240701,9호선,가양,24308,23955,20240704
20240701,9호선,양천향교,10910,10996,20240704
20240701,9호선,마곡나루(서울식물원),14738,14633,20240704
20240701,9호선,신방화,7842,7645,20240704
20240701,9호선,공항시장,3242,3504,20240704
20240701,9호선,김포공항,7039,10108,20240704
20240701,9호선,개화,3155,2105,20240704
20240701,8호선,남위례,8038,8054,20240704
20240701,8호선,모란,5091,3904,20240704
20240701,8호선,수진,6031,5544,20240704
20240701,8호선,신흥,5601,5822,20240704
20240701,8호선,단대오거리,12846,12556,20240704
20240701,8호선,남한산성입구(성남법원.검찰청),13946,12564,20240704
20240701,8호선,산성,7046,7206,20240704
20240701,8호선,복정,9842,8448,20240704
20240701,8호선,장지,18339,17011,20240704
20240701,8호선,문정,25006,26393,20240704
20240701,8호선,가락시장,8452,9355,20240704
20240701,8호선,송파,10344,10135,20240704
20240701,8호선,석촌,8582,9957,20240704
20240701,8호선,잠실(송파구청),16923,19339,20240704
20240701,8호선,몽촌토성(평화의문),7322,7310,20240704
20240701,8호선,강동구청,11441,11808,20240704
20240701,8호선,천호(풍납토성),15990,18171,20240704
20240701,8호선,암사,20563,18267,20240704
20240701,7호선,온수(성공회대입구),10649,9644,20240704
20240701,7호선,천왕,12870,12616,20240704
20240701,7호선,광명사거리,21360,20988,20240704
20240701,7호선,철산,23020,23358,20240704
20240701,7호선,가산디지털단지,51392,52007,20240704
20240701,7호선,남구로,16887,17389,20240704
20240701,7호선,대림(구로구청),9771,9718,20240704
20240701,7호선,신풍,12175,11464,20240704
20240701,7호선,보라매,7127,7433,20240704
20240701,7호선,신대방삼거리,15885,15508,20240704
20240701,7호선,장승배기,10276,10037,20240704
20240701,7호선,상도,12443,12143,20240704
20240701,7호선,숭실대입구(살피재),13398,13910,20240704
20240701,7호선,남성,12335,11934,20240704
20240701,7호선,이수,17091,16855,20240704
20240701,7호선,내방,16616,16634,20240704
20240701,7호선,고속터미널,17384,14515,20240704
20240701,7호선,반포,6966,6666,20240704
20240701,7호선,논현,20830,21143,20240704
20240701,7호선,학동,26679,27428,20240704
20240701,7호선,강남구청,17447,19198,20240704
20240701,7호선,청담,21387,22906,20240704
20240701,7호선,자양(뚝섬한강공원),10159,9775,20240704
20240701,7호선,건대입구,13794,14204,20240704
20240701,7호선,어린이대공원(세종대),14478,14277,20240704
20240701,7호선,군자(능동),16191,13136,20240704
20240701,7호선,중곡,12008,11232,20240704
20240701,7호선,용마산(용마폭포공원),6355,6225,20240704
20240701,7호선,사가정,17044,17294,20240704
20240701,7호선,면목,16006,15584,20240704
20240701,7호선,상봉,18123,17382,20240704
20240701,7호선,중화,11272,11123,20240704
20240701,7호선,먹골,10902,10902,20240704
20240701,7호선,태릉입구,9182,8660,20240704
20240701,7호선,공릉(서울과학기술대),13012,12845,20240704
20240701,7호선,하계,19420,18092,20240704
20240701,7호선,중계,16076,14811,20240704
20240701,7호선,노원,26223,27178,20240704
20240701,7호선,마들,14365,13602,20240704
20240701,7호선,수락산,13101,13120,20240704
20240701,7호선,도봉산,9518,10854,20240704
20240701,7호선,장암,2956,1098,20240704
20240701,6호선,신내,1,0,20240704
20240701,6호선,봉화산(서울의료원),9805,9140,20240704
20240701,6호선,화랑대(서울여대입구),12756,10056,20240704
20240701,6호선,태릉입구,5834,6511,20240704
20240701,6호선,석계,13279,13867,20240704
20240701,6호선,돌곶이,10856,10251,20240704
20240701,6호선,상월곡(한국과학기술연구원),6810,6128,20240704
20240701,6호선,월곡(동덕여대),12597,12585,20240704
20240701,6호선,고려대(종암),8976,8669,20240704
20240701,6호선,안암(고대병원앞),12375,12783,20240704
20240701,6호선,보문,8450,7967,20240704
20240701,6호선,창신,4000,3333,20240704
20240701,6호선,동묘앞,8791,9138,20240704
20240701,6호선,신당,8816,9560,20240704
20240701,6호선,청구,4264,4215,20240704
20240701,6호선,약수,4064,3945,20240704
20240701,6호선,버티고개,2324,2409,20240704
20240701,6호선,한강진,8599,10094,20240704
20240701,6호선,이태원,10719,10936,20240704
20240701,6호선,녹사평(용산구청),5265,5015,20240704
20240701,6호선,삼각지,7128,6234,20240704
20240701,6호선,효창공원앞,8027,7322,20240704
20240701,6호선,공덕,21275,20708,20240704
20240701,6호선,대흥(서강대앞),9985,10263,20240704
20240701,6호선,광흥창(서강),10451,9891,20240704
20240701,6호선,상수,9591,10478,20240704
20240701,6호선,합정,13255,12976,20240704
20240701,6호선,망원,15351,16431,20240704
20240701,6호선,마포구청,15669,14216,20240704
20240701,6호선,월드컵경기장(성산),4502,4587,20240704
20240701,6호선,디지털미디어시티,16084,17501,20240704
20240701,6호선,증산(명지대앞),10563,10618,20240704
20240701,6호선,새절(신사),13816,12705,20240704
20240701,6호선,구산,8980,6924,20240704
20240701,6호선,독바위,3169,3255,20240704
20240701,6호선,불광,4962,4917,20240704
20240701,6호선,역촌,4144,4645,20240704
20240701,6호선,응암,19017,18947,20240704
20240701,5호선,하남검단산,6928,6511,20240704
20240701,5호선,하남시청(덕풍·신장),8883,8574,20240704
20240701,5호선,하남풍산,4966,4858,20240704
20240701,5호선,미사,18798,19278,20240704
20240701,5호선,강일,6497,6065,20240704
20240701,5호선,마천,8448,7594,20240704
20240701,5호선,거여,11211,10974,20240704
20240701,5호선,개롱,7199,7473,20240704
20240701,5호선,오금,4254,4339,20240704
20240701,5호선,방이,7800,8053,20240704
20240701,5호선,올림픽공원(한국체대),6258,5055,20240704
20240701,5호선,둔촌동,9544,9494,20240704
20240701,5호선,상일동,16222,15238,20240704
20240701,5호선,고덕,12146,11758,20240704
20240701,5호선,명일,9574,10008,20240704
20240701,5호선,굽은다리(강동구민회관앞),10404,9920,20240704
20240701,5호선,길동,8954,9230,20240704
20240701,5호선,강동,19792,19304,20240704
20240701,5호선,천호(풍납토성),19880,19970,20240704
20240701,5호선,광나루(장신대),14563,13784,20240704
20240701,5호선,아차산(어린이대공원후문),15464,15131,20240704
20240701,5호선,군자(능동),11905,12953,20240704
20240701,5호선,장한평,20741,20667,20240704
20240701,5호선,답십리,17369,15843,20240704
20240701,5호선,마장,6378,5884,20240704
20240701,5호선,왕십리(성동구청),4945,5608,20240704
20240701,5호선,행당,8804,7905,20240704
20240701,5호선,신금호,7170,7610,20240704
20240701,5호선,청구,4378,4057,20240704
20240701,5호선,동대문역사문화공원(DDP),3488,3955,20240704
20240701,5호선,을지로4가,7337,7411,20240704
20240701,5호선,종로3가,14690,15315,20240704
20240701,5호선,광화문(세종문화회관),35350,36878,20240704
20240701,5호선,서대문,23160,23292,20240704
20240701,5호선,충정로(경기대입구),5195,5368,20240704
20240701,5호선,애오개,7757,7828,20240704
20240701,5호선,공덕,16265,17609,20240704
20240701,5호선,마포,17001,16900,20240704
20240701,5호선,여의나루,16013,16237,20240704
20240701,5호선,여의도,34410,35017,20240704
20240701,5호선,신길,5306,5558,20240704
20240701,5호선,영등포시장,12089,12315,20240704
20240701,5호선,영등포구청,5375,5327,20240704
20240701,5호선,양평,8626,8489,20240704
20240701,5호선,오목교(목동운동장앞),21979,23622,20240704
20240701,5호선,목동,17750,19412,20240704
20240701,5호선,신정(은행정),14589,12176,20240704
20240701,5호선,까치산,29768,29067,20240704
20240701,5호선,화곡,30736,28926,20240704
20240701,5호선,우장산,16105,15901,20240704
20240701,5호선,발산,24408,25074,20240704
20240701,5호선,마곡,13825,13811,20240704
20240701,5호선,송정,6945,6630,20240704
20240701,5호선,김포공항,11297,8114,20240704
20240701,5호선,개화산,6606,6381,20240704
20240701,5호선,방화,7863,7508,20240704
20240701,4호선,남태령,1307,1116,20240704
20240701,4호선,사당,25725,22524,20240704
20240701,4호선,총신대입구(이수),20903,22337,20240704
20240701,4호선,동작(현충원),1671,1915,20240704
20240701,4호선,이촌(국립중앙박물관),8507,9544,20240704
20240701,4호선,신용산,20804,21919,20240704
20240701,4호선,삼각지,6144,6767,20240704
20240701,4호선,숙대입구(갈월),15101,14611,20240704
20240701,4호선,서울역,13715,21364,20240704
20240701,4호선,회현(남대문시장),27977,29414,20240704
20240701,4호선,명동,33431,35193,20240704
20240701,4호선,충무로,32289,32994,20240704
20240701,4호선,동대문역사문화공원(DDP),19495,17356,20240704
20240701,4호선,동대문,22461,22714,20240704
20240701,4호선,혜화,31213,31262,20240704
20240701,4호선,한성대입구(삼선교),14145,13745,20240704
20240701,4호선,성신여대입구(돈암),22162,21452,20240704
20240701,4호선,미아사거리,28847,28021,20240704
20240701,4호선,미아(서울사이버대학),16455,16031,20240704
20240701,4호선,수유(강북구청),35817,35948,20240704
20240701,4호선,쌍문,31519,29147,20240704
20240701,4호선,창동,27657,29065,20240704
20240701,4호선,노원,30175,33598,20240704
20240701,4호선,상계,20974,19654,20240704
20240701,4호선,당고개,10388,8773,20240704
20240701,3호선,오금,7163,6328,20240704
20240701,3호선,경찰병원,8524,8706,20240704
20240701,3호선,가락시장,9865,9521,20240704
20240701,3호선,수서,19217,19516,20240704
20240701,3호선,일원,12239,11932,20240704
20240701,3호선,대청,12170,11425,20240704
20240701,3호선,학여울,2284,2253,20240704
20240701,3호선,대치,12680,12747,20240704
20240701,3호선,도곡,6594,6616,20240704
20240701,3호선,매봉,14354,13696,20240704
20240701,3호선,양재(서초구청),40184,43672,20240704
20240701,3호선,남부터미널(예술의전당),31194,31691,20240704
20240701,3호선,교대(법원.검찰청),18139,11099,20240704
20240701,3호선,고속터미널,39774,36774,20240704
20240701,3호선,잠원,5558,5300,20240704
20240701,3호선,신사,29427,30566,20240704
20240701,3호선,압구정,34292,36350,20240704
20240701,3호선,옥수,9377,9707,20240704
20240701,3호선,금호,8558,8041,20240704
20240701,3호선,약수,13816,13789,20240704
20240701,수인선,호구포,4241,4367,20240704
20240701,3호선,동대입구,9335,10098,20240704
20240701,3호선,충무로,6,0,20240704
20240701,3호선,을지로3가,12682,12517,20240704
20240701,3호선,종로3가,12056,13028,20240704
20240701,3호선,안국,27786,28258,20240704
20240701,3호선,경복궁(정부서울청사),24658,24596,20240704
20240701,3호선,독립문,7890,7894,20240704
20240701,3호선,무악재,4951,4764,20240704
20240701,3호선,홍제,19130,18253,20240704
20240701,3호선,녹번,16486,15364,20240704
20240701,3호선,불광,17864,19129,20240704
20240701,3호선,연신내,36454,34724,20240704
20240701,3호선,구파발,23356,22437,20240704
20240701,3호선,지축,8210,8281,20240704
20240701,2호선,용두(동대문구청),2679,2823,20240704
20240701,2호선,신정네거리,10894,11306,20240704
20240701,2호선,양천구청,7385,7731,20240704
20240701,2호선,도림천,1514,1640,20240704
20240701,2호선,신설동,3585,3448,20240704
20240701,2호선,신답,1877,2114,20240704
20240701,2호선,용답,3095,3076,20240704
20240701,2호선,충정로(경기대입구),11427,11993,20240704
20240701,2호선,아현,11789,10860,20240704
20240701,2호선,이대,16866,18864,20240704
20240701,2호선,신촌,38320,38797,20240704
20240701,2호선,홍대입구,68513,72441,20240704
20240701,2호선,합정,31876,33826,20240704
20240701,2호선,당산,19116,22661,20240704
20240701,2호선,영등포구청,24618,25392,20240704
20240701,2호선,문래,25593,26195,20240704
20240701,2호선,신도림,52030,50407,20240704
20240701,2호선,대림(구로구청),26349,26813,20240704
20240701,2호선,구로디지털단지,62554,62131,20240704
20240701,2호선,신대방,26718,25946,20240704
20240701,2호선,신림,57327,55411,20240704
20240701,2호선,봉천,26453,25095,20240704
20240701,2호선,서울대입구(관악구청),49359,48579,20240704
20240701,2호선,낙성대(강감찬),29414,28970,20240704
20240701,2호선,사당,39975,41536,20240704
20240701,2호선,방배,17238,17798,20240704
20240701,2호선,서초,23998,23682,20240704
20240701,2호선,교대(법원.검찰청),34405,40750,20240704
20240701,2호선,강남,86648,84979,20240704
20240701,2호선,역삼,58652,67029,20240704
20240701,2호선,선릉,65979,58231,20240704
20240701,2호선,삼성(무역센터),57969,59341,20240704
20240701,2호선,종합운동장,8393,9059,20240704
20240701,2호선,잠실새내,25148,24398,20240704
20240701,2호선,잠실(송파구청),78515,78503,20240704
20240701,2호선,잠실나루,17150,16607,20240704
20240701,2호선,강변(동서울터미널),31249,28846,20240704
20240701,2호선,구의(광진구청),26628,26269,20240704
20240701,2호선,건대입구,35948,37728,20240704
20240701,2호선,성수,44577,48653,20240704
20240701,2호선,뚝섬,25563,27051,20240704
20240701,2호선,한양대,10992,11890,20240704
20240701,2호선,왕십리(성동구청),16044,14530,20240704
20240701,2호선,상왕십리,15736,15624,20240704
20240701,2호선,신당,15440,15981,20240704
20240701,2호선,동대문역사문화공원(DDP),14628,16756,20240704
20240701,2호선,을지로4가,15868,15485,20240704
20240701,2호선,을지로3가,27086,26914,20240704
